                                                         2023-12-31      2023-09-30      2023-06-30      2023-03-31      2022-12-31
Treasury Shares Number                                          0.0             0.0             NaN             NaN             NaN
Ordinary Shares Number                                15460223000.0   15550061000.0   15647868000.0   15723406000.0   15842407000.0
Share Issued                                          15460223000.0   15550061000.0   15647868000.0   15723406000.0   15842407000.0
Net Debt                                              67280000000.0   81123000000.0   80872000000.0   84928000000.0   90575000000.0
Total Debt                                           108040000000.0  111088000000.0  109280000000.0  109615000000.0  111110000000.0
Tangible Book Value                                   74100000000.0   62146000000.0   60274000000.0   62158000000.0   56727000000.0
Invested Capital                                     182140000000.0  173234000000.0  169554000000.0  171773000000.0  167837000000.0
Working Capital                                        9719000000.0   -1742000000.0   -2304000000.0   -7162000000.0   -8509000000.0
Net Tangible Assets                                   74100000000.0   62146000000.0   60274000000.0   62158000000.0   56727000000.0
Common Stock Equity                                   74100000000.0   62146000000.0   60274000000.0   62158000000.0   56727000000.0
Total Capitalization                                 169188000000.0  157427000000.0  158345000000.0  159199000000.0  156354000000.0
Total Equity Gross Minority Interest                  74100000000.0   62146000000.0   60274000000.0   62158000000.0   56727000000.0
Stockholders Equity                                   74100000000.0   62146000000.0   60274000000.0   62158000000.0   56727000000.0
Gains Losses Not Affecting Retained Earnings          -9378000000.0  -11452000000.0  -11801000000.0  -11746000000.0  -12912000000.0
Other Equity Adjustments                              -9378000000.0  -11452000000.0  -11801000000.0  -11746000000.0  -12912000000.0
Retained Earnings                                      8242000000.0    -214000000.0    1408000000.0    4336000000.0    3240000000.0
Capital Stock                                         75236000000.0   73812000000.0   70667000000.0   69568000000.0   66399000000.0
Common Stock                                          75236000000.0   73812000000.0   70667000000.0   69568000000.0   66399000000.0
Total Liabilities Net Minority Interest              279414000000.0  290437000000.0  274764000000.0  270002000000.0  290020000000.0
Total Non Current Liabilities Net Minority Interest  145441000000.0  145129000000.0  149801000000.0  149927000000.0  152734000000.0
Other Non Current Liabilities                         50353000000.0   34391000000.0   51730000000.0   52886000000.0   53107000000.0
Tradeand Other Payables Non Current                             NaN   15457000000.0             NaN             NaN             NaN
Long Term Debt And Capital Lease Obligation           95088000000.0   95281000000.0   98071000000.0   97041000000.0   99627000000.0
Long Term Debt                                        95088000000.0   95281000000.0   98071000000.0   97041000000.0   99627000000.0
Current Liabilities                                  133973000000.0  145308000000.0  124963000000.0  120075000000.0  137286000000.0
Other Current Liabilities                             54611000000.0   58829000000.0   58897000000.0   56425000000.0   59893000000.0
Current Deferred Liabilities                           8264000000.0    8061000000.0    8158000000.0    8131000000.0    7992000000.0
Current Deferred Revenue                               8264000000.0    8061000000.0    8158000000.0    8131000000.0    7992000000.0
Current Debt And Capital Lease Obligation             12952000000.0   15807000000.0   11209000000.0   12574000000.0   11483000000.0
Current Debt                                          12952000000.0   15807000000.0   11209000000.0   12574000000.0   11483000000.0
Other Current Borrowings                              10954000000.0    9822000000.0    7216000000.0   10578000000.0    9740000000.0
Commercial Paper                                       1998000000.0    5985000000.0    3993000000.0    1996000000.0    1743000000.0
Payables And Accrued Expenses                         58146000000.0   62611000000.0   46699000000.0   42945000000.0   57918000000.0
Payables                                              58146000000.0   62611000000.0   46699000000.0   42945000000.0   57918000000.0
Accounts Payable                                      58146000000.0   62611000000.0   46699000000.0   42945000000.0   57918000000.0
Total Assets                                         353514000000.0  352583000000.0  335038000000.0  332160000000.0  346747000000.0
Total Non Current Assets                             209822000000.0  209017000000.0  212379000000.0  219247000000.0  217970000000.0
Other Non Current Assets                              66681000000.0   46906000000.0   64768000000.0   65388000000.0   60924000000.0
Non Current Deferred Assets                                     NaN   17852000000.0             NaN             NaN             NaN
Non Current Deferred Taxes Assets                               NaN   17852000000.0             NaN             NaN             NaN
Investments And Advances                              99475000000.0  100544000000.0  104061000000.0  110461000000.0  114095000000.0
Other Investments                                               NaN             NaN             NaN             NaN  114095000000.0
Investmentin Financial Assets                         99475000000.0  100544000000.0  104061000000.0  110461000000.0             NaN
Available For Sale Securities                         99475000000.0  100544000000.0  104061000000.0  110461000000.0             NaN
Net PPE                                               43666000000.0   43715000000.0   43550000000.0   43398000000.0   42951000000.0
Accumulated Depreciation                             -72510000000.0  -70884000000.0  -70787000000.0  -69668000000.0  -68044000000.0
Gross PPE                                            116176000000.0  114599000000.0  114337000000.0  113066000000.0  110995000000.0
Leases                                                          NaN   12839000000.0             NaN             NaN             NaN
Machinery Furniture Equipment                                   NaN   78314000000.0             NaN             NaN             NaN
Land And Improvements                                           NaN   23446000000.0             NaN             NaN             NaN
Properties                                                      NaN             0.0             NaN             NaN             NaN
