                                                    Concept  PeriodEnd                                                                                                                                                                                                                                             Dims         Value
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                                                                                                                                                                                   9.419300e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                                                                                                                                                                                   8.882100e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                                                                                                                                                                   8.515900e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                         srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.365900e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                         srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.085400e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                         srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  8.462000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.172100e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  9.926000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  9.199000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                                                                   us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember  2.538000e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                                                                   us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember  2.078100e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                                                   us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember  1.766100e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                            srt:ProductOrServiceAxis:jnj:CARVYKTIMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.492000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                            srt:ProductOrServiceAxis:jnj:CARVYKTIMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  8.690000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                            srt:ProductOrServiceAxis:jnj:CARVYKTIMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.690000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                   srt:ProductOrServiceAxis:jnj:CARVYKTIMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.950000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                   srt:ProductOrServiceAxis:jnj:CARVYKTIMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  9.400000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                   srt:ProductOrServiceAxis:jnj:CARVYKTIMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.000000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                      srt:ProductOrServiceAxis:jnj:CARVYKTIMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.887000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                      srt:ProductOrServiceAxis:jnj:CARVYKTIMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  9.630000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                      srt:ProductOrServiceAxis:jnj:CARVYKTIMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.000000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                            srt:ProductOrServiceAxis:jnj:DARZALEXMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  8.266000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                            srt:ProductOrServiceAxis:jnj:DARZALEXMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.588000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                            srt:ProductOrServiceAxis:jnj:DARZALEXMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.277000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                   srt:ProductOrServiceAxis:jnj:DARZALEXMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.085000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                   srt:ProductOrServiceAxis:jnj:DARZALEXMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.082000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                   srt:ProductOrServiceAxis:jnj:DARZALEXMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.467000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                      srt:ProductOrServiceAxis:jnj:DARZALEXMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.435100e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                      srt:ProductOrServiceAxis:jnj:DARZALEXMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.167000e+10
