ticker,name,sector,industry,market_cap,metric_used,cagr_5yr,years_positive,yoy_sequence,implied_growth,finviz_5yr,gap,debt_equity,business_summary,reasons_skipped
LIEN,"Chicago Atlantic BDC, Inc.",Financial Services,Asset Management,226695168.0,Revenue,14.90460272160981,3/3,"(+99489,+79,+126)",0.005226903495873625,,14.899375818113937,0.17917000000000002,"Silver Spike Investment Corp., is a a business development company. It is a specialty finance company, focuses on investing across the cannabis ecosystem through investments in the form of direct loans to, and equity ownership of, privately held cannabis companies. It intends to partner with private equity firms, entrepreneurs, business owners, and management teams to provide credit and equity financing alternatives to support buyouts, recapitalizations, growth initiatives, refinancings, and acquisitions across cannabis companies, including cannabis-enabling technology companies, cannabis-rela",
AIFU,AIFU Inc.,Financial Services,Insurance Brokers,258036048.0,EPS,8.052298831764872,2/3,"(-61,+115456,+64)",-0.04028067281156533,,8.092579504576438,0.18417000000000003,"AIFU Inc., through its subsidiary, distributes insurance products in China. The company provides life and health insurance products, such as individual whole life, individual health, individual annuity, individual term life, individual endowment life, and participating insurance products; and non-life insurance products primarily includes individual accident, travel, homeowner, indemnity medical, commercial property, cargo, hull, liability, construction and erection, and extended warranty insurance products. It also provides value-added services; elderly care services; healthcare services; and",
NAZ,Nuveen Arizona Quality Municipa,Financial Services,Asset Management,163451152.0,EPS,3.96655480858378,0/1,"(-5600,?)",0.13144107513933756,,3.8351137334444423,0.039,"Nuveen Arizona Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is managed by Nuveen Asset Management, LLC. It invests in the fixed income markets of Arizona. The fund invests in municipal securities and other related investments the income, exempt from regular federal and Arizona income taxes that are rated Baa or BBB or better and having an average maturity of 18.66 years. It employs fundamental analysis with bottom-up stock picking approach to create its portfolio. The fund benchmarks the performance of its portfolio agai",
CRMD,CorMedix Inc.,Healthcare,Biotechnology,633883392.0,Revenue,3.0579900552524153,2/5,"(-16,-20,-66,+66363,+617)",-0.04847003964005314,,3.1064600948924683,0.3373,"CorMedix Inc., a biopharmaceutical company, focuses on developing and commercializing therapeutic products for life-threatening diseases and conditions in the United States. Its lead product candidate is DefenCath, an antimicrobial catheter lock solution to reduce the incidence of catheter-related bloodstream infections in adult patients with kidney failure. CorMedix Inc. was formerly known as Picton Holding Company, Inc. and changed its name to CorMedix, Inc. in January 2007. The company was incorporated in 2006 and is based in Parsippany, New Jersey.",
DHF,Dreyfus High Yield Strategies F,Financial Services,Asset Management,176603648.0,Revenue,3.023349687818178,0/2,"(-8222,?,-34)",0.06009344358150326,,2.9632562442366748,0.36436,"BNY Mellon High Yield Strategies Fund is a closed ended fixed income mutual fund launched and managed by BNY Mellon Investment Adviser, Inc. The fund invests in the fixed income markets of the United States. It primarily invests in fixed income securities of below investment grade quality, including securities of companies at early stages of development and companies with a highly leveraged financial structure. The fund benchmarks the performance of its portfolio against the BofA Merrill Lynch U.S High Yield Master II Constrained Index. It was formerly known as Dreyfus High Yield Strategies Fu",
GEVO,"Gevo, Inc.",Basic Materials,Specialty Chemicals,433272160.0,Revenue,3.1662090803491596,3/4,"(+120,+1364,-2,+849)",0.3792504020644394,,2.78695867828472,0.37438000000000005,"Gevo, Inc. operates as a carbon abatement company. It operates in four segments: Gevo, GevoFuels, GevoRNG, and GevoND. The company offers sustainable aviation fuel, motor fuels, and chemicals and materials; certain specialty fuels, on-road fuels, and certain products for the food chain comprising protein and feeds; hydrocarbons for gasoline, racing fuel blend stocks, and diesel fuel; ethylene and butenes; plastics and materials; and renewable natural gas, isobutanol, and isooctane. It is also involved in development, construction, and operation of Alcohol-to-Jet projects; provision of GevoRNG,",
FUBO,fuboTV Inc.,Communication Services,Broadcasting,286997056.0,Revenue,2.280551586648919,5/5,"(+4998,+193,+58,+36,+19)",-0.08249867201683936,,2.3630502586657585,0.15376,"FuboTV Inc. operates as a live TV streaming company. It focuses on the provision of sports, news, and entertainment program. The company owns Hulu + Live TV for entertainment; Fubo for sports; and Molotov for entertainment and sports. FuboTV Inc. is headquartered in New York, New York. FuboTV Inc. operates as a subsidiary of The Walt Disney Company.",
BKKT,"Bakkt, Inc.",Technology,Software - Infrastructure,538024704.0,Revenue,2.008782915501261,3/4,"(+91,+1232,+373,-32)",0.06867532654264163,,1.9401075889586195,0.046,"Bakkt, Inc. engages in digital building financial infrastructure. The company offers Bakkt Market solutions which enables institutions to launch secure, compliant, and advanced digital asset brokerage, trading and payment capabilities through a plug-and-play platform; Bakkt Agent provides programmable access to Bakkt's financial infrastructure through an intelligent software layer that coordinates onboarding, account creation, funding, and global money movement; and Bakkt Global enables Bakkt to expand its technology and infrastructure into international markets through strategic investments i",
AWF,Alliancebernstein Global High I,Financial Services,Asset Management,882991872.0,EPS,1.9876031643714431,0/2,"(-2033,?,-45)",0.06439803845776004,,1.923205125913683,0.474,"AllianceBernstein Global High Income Fund is a close-ended fixed income mutual fund launched and managed by AllianceBernstein L.P. It invests in fixed income markets across the globe. The fund primarily invests in lower-rated corporate debt securities and government bonds. It employs a combination of fundamental and quantitative analysis to create its portfolio. The fund benchmarks the performance of its portfolio against a composite index comprised of JPMorgan Government Bond Index-Emerging Markets, JPMorgan Emerging Markets Bond Index Global, and the Barclays U.S. Corporate High Yield 2% Iss",
OPRX,OptimizeRx Corporation,Healthcare,Health Information Services,94294512.0,Revenue,1.8935972783765438,2/3,"(-77,+8888,+19)",0.07951147516442414,,1.8140858032121197,0.18297999999999998,"OptimizeRx Corporation operates as a digital healthcare technology company. It offers Dynamic Audience Activation Platform, which generates dynamic audiences with predictive analytics through machine learning methods; Micro-Neighborhood Targeting, which creates consumer audiences using a privacy-first process; Profiler, which provides insights into its customers' target consumers; banner messages, including brand messaging, therapeutic support messaging, affordability messaging, limited distribution drug information, and patient support program messaging through healthcare professionals; and m",
DMB,Dreyfus Municipal Bond Infrastr,Financial Services,Asset Management,198416368.0,EPS,1.9814239699997196,0/1,"(-1856,?)",0.17832818260333005,,1.8030957873963895,0.20577,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. is a closed ended fixed income mutual fund launched and managed by BNY Mellon Investment Adviser, Inc. The fund invests in the fixed income markets of the United States. It primarily invests in the tax-exempt investment grade debt obligations issued by or on behalf of states, territories and possessions of the United States and the District of Columbia and their political subdivisions, agencies and instrumentalities, or multistate agencies or authorities, and certain other specified securities. The fund invests its bonds issued by infrastruct",
REPX,"Riley Exploration Permian, Inc.",Energy,Oil & Gas E&P,827919552.0,Revenue,1.6432316615940543,4/5,"(+4872,+113,+17,+9,-4)",0.07449904402434071,,1.5687326175697136,0.43487000000000003,"Riley Exploration Permian, Inc., an independent oil and natural gas company, engages in the acquisition, exploration, development, and production of oil, natural gas, and natural gas liquids in Texas and New Mexico. Its acreage is primarily located on contiguous blocks in Yoakum County, Texas; and oil and natural gas properties in the Yeso trend of the Permian Basin in Eddy County, New Mexico. The company is headquartered in Oklahoma City, Oklahoma.",
FEIM,"Frequency Electronics, Inc.",Technology,Communication Equipment,659310656.0,EPS,1.8173932773176427,1/2,"(-600,?,+317)",0.2937555443215083,,1.5236377329961344,0.13495,"Frequency Electronics, Inc., together with its subsidiaries, engages in the design, development, manufacture, marketing, and sale of precision time and frequency control products and components for microwave integrated circuit applications. The company operates through two segments, FEI-NY and FEI-Zyfer. The FEI-NY segment offers precision time and frequency control products for communication satellites, terrestrial cellular telephone or other ground-based telecommunication stations; and other components and systems for the U.S. military. This segment also provides design and technical support",
PHOE,Phoenix Asia Holdings Limited,Industrials,Engineering & Construction,366984000.0,EPS,2.0096597551221316,1/1,(+201),0.5428944329795138,,1.4667653221426178,0.233,"Phoenix Asia Holdings Limited provides substructure works services in Hong Kong. The company undertakes site formation, such as clearance of construction site, demolition of existing structures, and reduction and stabilization of existing slopes; ground investigation comprising of assessing ground condition by drilling and conducting tests; and foundation works, including excavation and lateral support works, pile caps construction, earth works, structural steel works, underground drainage works, and demolition works. It also provides construction services, such as structural steel works; and ",
