ticker,name,sector,industry,market_cap,metric_used,cagr_5yr,years_positive,yoy_sequence,implied_growth,finviz_5yr,gap,debt_equity,business_summary,reasons_skipped
AACIU,Armada Acquisition Corp. III,Financial Services,Shell Companies,0.0,EPS,nan,,,nan,,nan,nan,"Armada Acquisition Corp. III focuses on effecting a merger, share exchange, asset acquisition, share purchase, recapitalization, reorganization or other similar business combination with one or more businesses. The company was incorporated in 2025 and is based in Philadelphia, Pennsylvania.","no_market_cap, no_debt_equity"
AACBU,Artius II Acquisition Inc.,Financial Services,Shell Companies,0.0,EPS,nan,,,nan,,nan,nan,"Artius II Acquisition Inc. does not have significant operations. It intends to effect a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. It intends to focus on technology enabled businesses that offer technology software and services, or financial services. The company was incorporated in 2024 and is based in New York, New York.","no_market_cap, no_debt_equity"
AACOU,Abony Acquisition Corp. I,Financial Services,Shell Companies,0.0,EPS,nan,,,nan,,nan,nan,"Abony Acquisition Corp. I focuses on effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses. The company was incorporated in 2025 and is based in Austin, Texas.","no_market_cap, no_debt_equity"
AAPG,Ascentage Pharma Group Internat,Healthcare,Biotechnology,1982340736.0,EPS,nan,,,nan,,nan,1.48381,"Ascentage Pharma Group International, a clinical-stage biotechnology company, develops therapies for cancers, chronic hepatitis B virus (HBV), and age-related diseases in Mainland China. The company's primary product candidate is HQP1351, a BCR-ABL inhibitor targeting BCR-ABL1 mutants, including those with the T315I mutation. It also develops APG-2575, an oral administered Bcl-2 selective inhibitor for hematologic malignancies and solid tumors; APG-115, an oral small molecule inhibitor of the MDM2-p53 protein-protein interactions to treat solid tumors and hematological malignancies; and APG-12","too_large, de_too_high:1.48"
AA,Alcoa Corporation,Basic Materials,Aluminum,19039653888.0,EPS,nan,,,0.10917023813903004,,nan,0.37018999999999996,"Alcoa Corporation, together with its subsidiaries, engages in the bauxite mining, alumina refining, aluminum production, and energy generation business in Australia, Brazil, Canada, Iceland, Norway, Spain, the United States, and internationally. The company operates through two segments: Alumina and Aluminum. It operates bauxite and other aluminous ores mining and processes bauxite into alumina for sale to aluminum smelter customers and customers who process it into industrial chemical products through supply contracts to third parties, as well as aluminum smelting and casting businesses. The ",too_large
AAL,"American Airlines Group, Inc.",Industrials,Airlines,9097353216.0,EPS,nan,,,0.20639302271788984,,nan,nan,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier in the United States, Latin America, Atlantic, and Pacific. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. It also operates a mainline fleet of 1,013 aircraft. The company was formerly known as AMR Corporation and changed its name to American ","too_large, no_debt_equity"
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,11159652352.0,EPS,nan,,,0.29944311393083956,,nan,0.47454999999999997,"AAON, Inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the United States and Canada. The company operates through three segments: AAON Oklahoma, AAON Coil Products, and BASX. It offers rooftop units, data center cooling solutions, cleanroom systems, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal/water-source heat pumps, coils, and controls. The company markets and sells its products to retail, manufacturing, educational, lodg",too_large
AAPL,Apple Inc.,Technology,Consumer Electronics,4550731759616.0,EPS,nan,,,0.18692379344023657,,nan,0.79548,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple Vision Pro, Apple TV, Apple Watch, Beats products, and HomePod, as well as Apple branded and third-party accessories. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications","too_large, de_too_high:0.80"
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,32186988544.0,EPS,nan,,,0.14230081133524997,,nan,0.5139,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates through three segments: Life Sciences and Diagnostics Markets, Agilent CrossLab, and Applied Markets. The Life Sciences and Diagnostics Markets segment offers liquid chromatography systems and components; and liquid chromatography mass spectrometry systems. This segment is also involved in the genomics, contract development and manufacturing organization, pathology, companion diagnostics, and biomolecular analysis businesses. The Agil","too_large, de_too_high:0.51"
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,14219018240.0,EPS,nan,,,0.1859076402477724,,nan,0.25356,"Applied Optoelectronics, Inc. engages in the design, manufacture, and sale of fiber-optic networking products in the United States, Taiwan, and China. The company offers optical modules, optical filters, lasers, laser components, subassemblies, transmitters and transceivers, turn-key equipment, headend, node, and distribution equipment, as well as amplifiers. It sells its products to internet data center operators, cable television, telecom equipment manufacturers, fiber-to-the-home, and internet service providers through its direct and indirect sales channels. Applied Optoelectronics, Inc. wa",too_large
