ticker,weight_pct
NVDA,13.55
AAPL,11.05
MSFT,8.21
AMZN,6.82
AVGO,5.71
GOOGL,5.66
GOOG,5.25
TSLA,3.84
META,3.78
MU,2.85
WMT,2.23
AMD,2.02
ASML,1.56
INTC,1.32
CSCO,1.18
ARM,1.09
COST,1.03
LRCX,0.98
PLTR,0.92
AMAT,0.89
NFLX,0.89
TXN,0.67
KLAC,0.63
SNDK,0.63
QCOM,0.6
MRVL,0.59
PANW,0.59
LIN,0.56
STX,0.51
APP,0.5
TMUS,0.5
ADI,0.49
CRWD,0.48
PEP,0.48
WDC,0.47
AMGN,0.43
GILD,0.4
SHOP,0.39
HON,0.37
ISRG,0.36
BKNG,0.32
PDD,0.31
CDNS,0.28
VRTX,0.27
SBUX,0.27
ADBE,0.27
FTNT,0.26
MAR,0.24
CEG,0.24
DDOG,0.23
SNPS,0.23
INTU,0.23
ADP,0.23
CMCSA,0.22
MELI,0.22
MNST,0.21
CSX,0.21
ABNB,0.2
NXPI,0.2
MDLZ,0.19
MPWR,0.19
LITE,0.19
ROST,0.18
ORLY,0.18
DASH,0.18
CTAS,0.17
WBD,0.17
AEP,0.17
REGN,0.15
BKR,0.15
PCAR,0.14
FANG,0.14
MCHP,0.13
ADSK,0.13
MSTR,0.13
EA,0.12
FAST,0.12
XEL,0.12
FER,0.12
ODFL,0.12
EXC,0.11
IDXX,0.11
TTWO,0.1
KDP,0.1
TRI,0.1
CCEP,0.1
PYPL,0.1
ALNY,0.09
AXON,0.09
WDAY,0.09
PAYX,0.09
ROP,0.08
CPRT,0.07
DXCM,0.07
GEHC,0.07
KHC,0.07
CTSH,0.07
ZS,0.06
VRSK,0.06
INSM,0.06
CHTR,0.04
